"","Genotype","Temperature","N_Genotypes","Metric","Stage","Yoj","M","dataset","experiment"
"1","ClusterD","Ambient",3,"Survival","Larvae",1,1,"C1","LASu_C1"
"2","ClusterA","Ambient",3,"Survival","Larvae",0.934782608695652,0.979166666666667,"C1","LASu_C1"
"3","ClusterA","Ambient",3,"Survival","Larvae",0.934782608695652,0.979166666666667,"C5","LASu_C5"
"4","ClusterA","Ambient",3,"Survival","Larvae",0.934782608695652,0.979166666666667,"C7","LASu_C7"
"5","ClusterA","Ambient",3,"Survival","Larvae",0.934782608695652,0.979166666666667,"C8","LASu_C8"
"6","ClusterA","Ambient",3,"Survival","Larvae",0.934782608695652,0.979166666666667,"C9","LASu_C9"
"7","804","Ambient",3,"Survival","Larvae",0.978260869565217,1,"C1","LASu_C1"
"8","ClusterA","Ambient",2,"Survival","Larvae",0.989583333333333,0.989583333333333,"C2","LASu_C2"
"9","ClusterA","Ambient",2,"Survival","Larvae",0.989583333333333,0.989583333333333,"C4","LASu_C4"
"10","804","Ambient",2,"Survival","Larvae",0.958333333333333,0.957446808510638,"C2","LASu_C2"
"11","804","Ambient",2,"Survival","Larvae",0.958333333333333,0.957446808510638,"C4","LASu_C4"
"12","ClusterA","Ambient",2,"Survival","Larvae",1,1,"C2","LASu_C2"
"13","ClusterA","Ambient",2,"Survival","Larvae",1,1,"C4","LASu_C4"
"14","804","Ambient",2,"Survival","Larvae",0.956521739130435,1,"C2","LASu_C2"
"15","804","Ambient",2,"Survival","Larvae",0.956521739130435,1,"C4","LASu_C4"
"16","746","Ambient",3,"Survival","Larvae",1,0.979166666666667,"C5","LASu_C5"
"17","746","Ambient",3,"Survival","Larvae",1,0.979166666666667,"C7","LASu_C7"
"18","ClusterA","Ambient",3,"Survival","Larvae",1,1,"C1","LASu_C1"
"19","ClusterA","Ambient",3,"Survival","Larvae",1,1,"C5","LASu_C5"
"20","ClusterA","Ambient",3,"Survival","Larvae",1,1,"C7","LASu_C7"
"21","ClusterA","Ambient",3,"Survival","Larvae",1,1,"C8","LASu_C8"
"22","ClusterA","Ambient",3,"Survival","Larvae",1,1,"C9","LASu_C9"
"23","ClusterB","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C5","LASu_C5"
"24","ClusterB","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C7","LASu_C7"
"25","ClusterB","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C8","LASu_C8"
"26","ClusterB","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C9","LASu_C9"
"27","746","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C5","LASu_C5"
"28","746","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C7","LASu_C7"
"29","ClusterA","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C1","LASu_C1"
"30","ClusterA","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C5","LASu_C5"
"31","ClusterA","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C7","LASu_C7"
"32","ClusterA","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C8","LASu_C8"
"33","ClusterA","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C9","LASu_C9"
"34","ClusterB","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C5","LASu_C5"
"35","ClusterB","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C7","LASu_C7"
"36","ClusterB","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C8","LASu_C8"
"37","ClusterB","Ambient",3,"Survival","Larvae",0.958333333333333,1,"C9","LASu_C9"
"38","ClusterA","Ambient",3,"Survival","Larvae",1,0.925925925925926,"C1","LASu_C1"
"39","ClusterA","Ambient",3,"Survival","Larvae",1,0.925925925925926,"C5","LASu_C5"
"40","ClusterA","Ambient",3,"Survival","Larvae",1,0.925925925925926,"C7","LASu_C7"
"41","ClusterA","Ambient",3,"Survival","Larvae",1,0.925925925925926,"C8","LASu_C8"
"42","ClusterA","Ambient",3,"Survival","Larvae",1,0.925925925925926,"C9","LASu_C9"
"43","ClusterB","Ambient",3,"Survival","Larvae",1,1,"C5","LASu_C5"
"44","ClusterB","Ambient",3,"Survival","Larvae",1,1,"C7","LASu_C7"
"45","ClusterB","Ambient",3,"Survival","Larvae",1,1,"C8","LASu_C8"
"46","ClusterB","Ambient",3,"Survival","Larvae",1,1,"C9","LASu_C9"
"47","814","Ambient",3,"Survival","Larvae",1,0.966666666666667,"C8","LASu_C8"
"48","ClusterA","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C1","LASu_C1"
"49","ClusterA","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C5","LASu_C5"
"50","ClusterA","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C7","LASu_C7"
"51","ClusterA","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C8","LASu_C8"
"52","ClusterA","Ambient",3,"Survival","Larvae",1,0.958333333333333,"C9","LASu_C9"
"53","ClusterB","Ambient",3,"Survival","Larvae",1,0.9375,"C5","LASu_C5"
"54","ClusterB","Ambient",3,"Survival","Larvae",1,0.9375,"C7","LASu_C7"
"55","ClusterB","Ambient",3,"Survival","Larvae",1,0.9375,"C8","LASu_C8"
"56","ClusterB","Ambient",3,"Survival","Larvae",1,0.9375,"C9","LASu_C9"
"57","806","Ambient",3,"Survival","Larvae",1,0.9375,"C9","LASu_C9"
"58","ClusterA","High",2,"Survival","Larvae",0.763157894736842,0.896551724137931,"H2","LHSu_H2"
"59","ClusterA","High",2,"Survival","Larvae",0.763157894736842,0.896551724137931,"H3","LHSu_H3"
"60","804","High",2,"Survival","Larvae",0.783783783783784,0.948717948717949,"H2","LHSu_H2"
"61","804","High",2,"Survival","Larvae",0.783783783783784,0.948717948717949,"H3","LHSu_H3"
"62","ClusterA","High",2,"Survival","Larvae",0.946808510638298,0.880952380952381,"H2","LHSu_H2"
"63","ClusterA","High",2,"Survival","Larvae",0.946808510638298,0.880952380952381,"H3","LHSu_H3"
"64","804","High",2,"Survival","Larvae",0.954545454545455,0.977777777777778,"H2","LHSu_H2"
"65","804","High",2,"Survival","Larvae",0.954545454545455,0.977777777777778,"H3","LHSu_H3"
"66","ClusterA","High",3,"Survival","Larvae",0.9375,0.958333333333333,"H4","LHSu_H4"
