"","Genotype","Temperature","N_Genotypes","Metric","Stage","Yoj","M","dataset","experiment"
"67","ClusterA","High",3,"Survival","Larvae",0.9375,0.958333333333333,"H5","LHSu_H5"
"68","ClusterB","High",3,"Survival","Larvae",0.958333333333333,0.9375,"H4","LHSu_H4"
"69","ClusterB","High",3,"Survival","Larvae",0.958333333333333,0.9375,"H5","LHSu_H5"
"70","814","High",3,"Survival","Larvae",0.958333333333333,0.978260869565217,"H4","LHSu_H4"
"71","ClusterA","High",3,"Survival","Larvae",0.613636363636364,1,"H4","LHSu_H4"
"72","ClusterA","High",3,"Survival","Larvae",0.613636363636364,1,"H5","LHSu_H5"
"73","ClusterB","High",3,"Survival","Larvae",0.627906976744186,0.916666666666667,"H4","LHSu_H4"
"74","ClusterB","High",3,"Survival","Larvae",0.627906976744186,0.916666666666667,"H5","LHSu_H5"
"75","806","High",3,"Survival","Larvae",0.634146341463415,0.5625,"H5","LHSu_H5"
"76","ClusterD","Ambient",3,"Settlement","Larvae",0.851851851851852,1,"C1","LASe_C1"
"77","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C1","LASe_C1"
"78","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C5","LASe_C5"
"79","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C7","LASe_C7"
"80","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C8","LASe_C8"
"81","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C9","LASe_C9"
"82","804","Ambient",3,"Settlement","Larvae",0.918367346938776,0.905660377358491,"C1","LASe_C1"
"83","ClusterA","Ambient",2,"Settlement","Larvae",0.913461538461538,0.989583333333333,"C2","LASe_C2"
"84","ClusterA","Ambient",2,"Settlement","Larvae",0.913461538461538,0.989583333333333,"C4","LASe_C4"
"85","804","Ambient",2,"Settlement","Larvae",0.92,0.849056603773585,"C2","LASe_C2"
"86","804","Ambient",2,"Settlement","Larvae",0.92,0.849056603773585,"C4","LASe_C4"
"87","ClusterA","Ambient",2,"Settlement","Larvae",0.989247311827957,1,"C2","LASe_C2"
"88","ClusterA","Ambient",2,"Settlement","Larvae",0.989247311827957,1,"C4","LASe_C4"
"89","804","Ambient",2,"Settlement","Larvae",1,0.96,"C2","LASe_C2"
"90","804","Ambient",2,"Settlement","Larvae",1,0.96,"C4","LASe_C4"
"91","746","Ambient",3,"Settlement","Larvae",0.96,0.94,"C5","LASe_C5"
"92","746","Ambient",3,"Settlement","Larvae",0.96,0.94,"C7","LASe_C7"
"93","ClusterA","Ambient",3,"Settlement","Larvae",0.94,1,"C1","LASe_C1"
"94","ClusterA","Ambient",3,"Settlement","Larvae",0.94,1,"C5","LASe_C5"
"95","ClusterA","Ambient",3,"Settlement","Larvae",0.94,1,"C7","LASe_C7"
"96","ClusterA","Ambient",3,"Settlement","Larvae",0.94,1,"C8","LASe_C8"
"97","ClusterA","Ambient",3,"Settlement","Larvae",0.94,1,"C9","LASe_C9"
"98","ClusterB","Ambient",3,"Settlement","Larvae",0.872727272727273,1,"C5","LASe_C5"
"99","ClusterB","Ambient",3,"Settlement","Larvae",0.872727272727273,1,"C7","LASe_C7"
"100","ClusterB","Ambient",3,"Settlement","Larvae",0.872727272727273,1,"C8","LASe_C8"
"101","ClusterB","Ambient",3,"Settlement","Larvae",0.872727272727273,1,"C9","LASe_C9"
"102","746","Ambient",3,"Settlement","Larvae",0.958333333333333,1,"C5","LASe_C5"
"103","746","Ambient",3,"Settlement","Larvae",0.958333333333333,1,"C7","LASe_C7"
"104","ClusterA","Ambient",3,"Settlement","Larvae",1,0.947368421052632,"C1","LASe_C1"
"105","ClusterA","Ambient",3,"Settlement","Larvae",1,0.947368421052632,"C5","LASe_C5"
"106","ClusterA","Ambient",3,"Settlement","Larvae",1,0.947368421052632,"C7","LASe_C7"
"107","ClusterA","Ambient",3,"Settlement","Larvae",1,0.947368421052632,"C8","LASe_C8"
"108","ClusterA","Ambient",3,"Settlement","Larvae",1,0.947368421052632,"C9","LASe_C9"
"109","ClusterB","Ambient",3,"Settlement","Larvae",0.958333333333333,1,"C5","LASe_C5"
"110","ClusterB","Ambient",3,"Settlement","Larvae",0.958333333333333,1,"C7","LASe_C7"
"111","ClusterB","Ambient",3,"Settlement","Larvae",0.958333333333333,1,"C8","LASe_C8"
"112","ClusterB","Ambient",3,"Settlement","Larvae",0.958333333333333,1,"C9","LASe_C9"
"113","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C1","LASe_C1"
"114","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C5","LASe_C5"
"115","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C7","LASe_C7"
"116","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C8","LASe_C8"
"117","ClusterA","Ambient",3,"Settlement","Larvae",1,1,"C9","LASe_C9"
"118","ClusterB","Ambient",3,"Settlement","Larvae",0.923076923076923,1,"C5","LASe_C5"
"119","ClusterB","Ambient",3,"Settlement","Larvae",0.923076923076923,1,"C7","LASe_C7"
"120","ClusterB","Ambient",3,"Settlement","Larvae",0.923076923076923,1,"C8","LASe_C8"
"121","ClusterB","Ambient",3,"Settlement","Larvae",0.923076923076923,1,"C9","LASe_C9"
"122","814","Ambient",3,"Settlement","Larvae",1,0.935483870967742,"C8","LASe_C8"
"123","ClusterA","Ambient",3,"Settlement","Larvae",0.941176470588235,1,"C1","LASe_C1"
"124","ClusterA","Ambient",3,"Settlement","Larvae",0.941176470588235,1,"C5","LASe_C5"
"125","ClusterA","Ambient",3,"Settlement","Larvae",0.941176470588235,1,"C7","LASe_C7"
"126","ClusterA","Ambient",3,"Settlement","Larvae",0.941176470588235,1,"C8","LASe_C8"
"127","ClusterA","Ambient",3,"Settlement","Larvae",0.941176470588235,1,"C9","LASe_C9"
"128","ClusterB","Ambient",3,"Settlement","Larvae",0.979591836734694,0.957446808510638,"C5","LASe_C5"
"129","ClusterB","Ambient",3,"Settlement","Larvae",0.979591836734694,0.957446808510638,"C7","LASe_C7"
"130","ClusterB","Ambient",3,"Settlement","Larvae",0.979591836734694,0.957446808510638,"C8","LASe_C8"
"131","ClusterB","Ambient",3,"Settlement","Larvae",0.979591836734694,0.957446808510638,"C9","LASe_C9"
"132","806","Ambient",3,"Settlement","Larvae",0.96,0.849056603773585,"C9","LASe_C9"
"133","ClusterA","High",2,"Settlement","Larvae",1,1,"H2","LHSe_H2"
"134","ClusterA","High",2,"Settlement","Larvae",1,1,"H3","LHSe_H3"
"135","804","High",2,"Settlement","Larvae",0.878787878787879,1,"H2","LHSe_H2"
"136","804","High",2,"Settlement","Larvae",0.878787878787879,1,"H3","LHSe_H3"
"137","ClusterA","High",2,"Settlement","Larvae",1,1,"H2","LHSe_H2"
"138","ClusterA","High",2,"Settlement","Larvae",1,1,"H3","LHSe_H3"
"139","804","High",2,"Settlement","Larvae",0.976744186046512,0.936170212765957,"H2","LHSe_H2"
"140","804","High",2,"Settlement","Larvae",0.976744186046512,0.936170212765957,"H3","LHSe_H3"
"141","ClusterA","High",3,"Settlement","Larvae",0.918367346938776,1,"H4","LHSe_H4"
"142","ClusterA","High",3,"Settlement","Larvae",0.918367346938776,1,"H5","LHSe_H5"
"143","ClusterB","High",3,"Settlement","Larvae",0.92,0.9,"H4","LHSe_H4"
"144","ClusterB","High",3,"Settlement","Larvae",0.92,0.9,"H5","LHSe_H5"
"145","814","High",3,"Settlement","Larvae",0.938775510204082,0.849056603773585,"H4","LHSe_H4"
"146","ClusterA","High",3,"Settlement","Larvae",0.931034482758621,1,"H4","LHSe_H4"
"147","ClusterA","High",3,"Settlement","Larvae",0.931034482758621,1,"H5","LHSe_H5"
"148","ClusterB","High",3,"Settlement","Larvae",0.870967741935484,0.956521739130435,"H4","LHSe_H4"
"149","ClusterB","High",3,"Settlement","Larvae",0.870967741935484,0.956521739130435,"H5","LHSe_H5"
"150","806","High",3,"Settlement","Larvae",0.896551724137931,1,"H5","LHSe_H5"
"151","1","Ambient",5,"Survival","Adult",1,0.95,NA,"AAS"
"152","1","High",5,"Survival","Adult",0.9,0.95,NA,"AHS"
"153","ClusterC","Ambient",5,"Survival","Adult",0.95,1,NA,"AAS"
"154","ClusterC","High",5,"Survival","Adult",1,0.8375,NA,"AHS"
"155","ClusterA","Ambient",5,"Survival","Adult",1,0.966666666666667,NA,"AAS"
"156","ClusterA","High",5,"Survival","Adult",0.966666666666667,0.966666666666667,NA,"AHS"
"157","4","Ambient",5,"Survival","Adult",1,1,NA,"AAS"
"158","4","High",5,"Survival","Adult",0.9,0.25,NA,"AHS"
"159","23","Ambient",5,"Survival","Adult",1,1,NA,"AAS"
"160","23","High",5,"Survival","Adult",0.5,0,NA,"AHS"
"161","1","Ambient",5,"Growth","Adult",0.1572222293,0.236302239631579,NA,"AAG"
"162","1","High",5,"Growth","Adult",0.0468451624,0.1503855186,NA,"AHG"
"163","ClusterC","Ambient",5,"Growth","Adult",0.115813829205128,0.112469783346154,NA,"AAG"
"164","ClusterC","High",5,"Growth","Adult",0.0788651084871795,0.0111875013291139,NA,"AHG"
"165","ClusterA","Ambient",5,"Growth","Adult",0.112141632,0.0817680590204082,NA,"AAG"
"166","ClusterA","High",5,"Growth","Adult",0.0126173168965517,-0.00856495803333333,NA,"AHG"
"167","4","Ambient",5,"Growth","Adult",0.1997288723,0.1911002024,NA,"AAG"
"168","4","High",5,"Growth","Adult",0.008393924,0.02430676475,NA,"AHG"
"169","23","Ambient",5,"Growth","Adult",0.155033941222222,0.0546781969,NA,"AAG"
"170","23","High",5,"Growth","Adult",-0.0537584832222222,0.0724190257,NA,"AHG"
"171","1","Ambient",5,"Photosynthetic Efficiency","Adult",0.070301815481695,0.0805770096450717,NA,"AAP"
"172","1","High",5,"Photosynthetic Efficiency","Adult",-0.0661665989427537,-0.0962251941654929,NA,"AHP"
"173","ClusterC","Ambient",5,"Photosynthetic Efficiency","Adult",0.0834350727433312,0.100869330302144,NA,"AAP"
"174","ClusterC","High",5,"Photosynthetic Efficiency","Adult",-0.093721957846538,-0.0803994106081165,NA,"AHP"
"175","ClusterA","Ambient",5,"Photosynthetic Efficiency","Adult",0.115031422497431,0.101170542129436,NA,"AAP"
"176","ClusterA","High",5,"Photosynthetic Efficiency","Adult",-0.205896374061707,-0.16200265387844,NA,"AHP"
"177","4","Ambient",5,"Photosynthetic Efficiency","Adult",0.0709621755353986,0.0576009318736796,NA,"AAP"
"178","4","High",5,"Photosynthetic Efficiency","Adult",-0.0113787243684151,NA,NA,"AHP"
"179","23","Ambient",5,"Photosynthetic Efficiency","Adult",0.106520725345792,0.0504103292376526,NA,"AAP"
"180","23","High",5,"Photosynthetic Efficiency","Adult",NA,NA,NA,"AHP"
