"","Genotype","Temperature","N_Genotypes","Diverse","Single","Metric","Stage"
"1","1","Ambient",5,0.070301815481695,0.0805770096450717,"Photosynthetic Efficiency","Adult"
"2","1","High",5,-0.0661665989427537,-0.0962251941654929,"Photosynthetic Efficiency","Adult"
"3","ClusterC","Ambient",5,0.0834350727433312,0.100869330302144,"Photosynthetic Efficiency","Adult"
"4","ClusterC","High",5,-0.093721957846538,-0.0803994106081165,"Photosynthetic Efficiency","Adult"
"5","ClusterA","Ambient",5,0.115031422497431,0.101170542129436,"Photosynthetic Efficiency","Adult"
"6","ClusterA","High",5,-0.205896374061707,-0.16200265387844,"Photosynthetic Efficiency","Adult"
"7","4","Ambient",5,0.0709621755353986,0.0576009318736796,"Photosynthetic Efficiency","Adult"
"8","4","High",5,-0.0113787243684151,NA,"Photosynthetic Efficiency","Adult"
"9","23","Ambient",5,0.106520725345792,0.0504103292376526,"Photosynthetic Efficiency","Adult"
"10","23","High",5,NA,NA,"Photosynthetic Efficiency","Adult"
