"","Genotype","Temperature","N_Genotypes","Metric","Stage","Diverse","Single"
"1","ClusterD","Ambient",3,"Survival","Larvae",1,1
"2","ClusterA","Ambient",3,"Survival","Larvae",0.934782608695652,0.979166666666667
"3","804","Ambient",3,"Survival","Larvae",0.978260869565217,1
"4","ClusterA","Ambient",2,"Survival","Larvae",0.989583333333333,0.989583333333333
"5","804","Ambient",2,"Survival","Larvae",0.958333333333333,0.957446808510638
"6","ClusterA","Ambient",2,"Survival","Larvae",1,1
"7","804","Ambient",2,"Survival","Larvae",0.956521739130435,1
"8","746","Ambient",3,"Survival","Larvae",1,0.979166666666667
"9","ClusterA","Ambient",3,"Survival","Larvae",1,1
"10","ClusterB","Ambient",3,"Survival","Larvae",1,0.958333333333333
"11","746","Ambient",3,"Survival","Larvae",0.958333333333333,1
"12","ClusterA","Ambient",3,"Survival","Larvae",0.958333333333333,1
"13","ClusterB","Ambient",3,"Survival","Larvae",0.958333333333333,1
"14","ClusterA","Ambient",3,"Survival","Larvae",1,0.925925925925926
"15","ClusterB","Ambient",3,"Survival","Larvae",1,1
"16","814","Ambient",3,"Survival","Larvae",1,0.966666666666667
"17","ClusterA","Ambient",3,"Survival","Larvae",1,0.958333333333333
"18","ClusterB","Ambient",3,"Survival","Larvae",1,0.9375
"19","806","Ambient",3,"Survival","Larvae",1,0.9375
"20","ClusterA","High",2,"Survival","Larvae",0.763157894736842,0.896551724137931
"21","804","High",2,"Survival","Larvae",0.783783783783784,0.948717948717949
"22","ClusterA","High",2,"Survival","Larvae",0.946808510638298,0.880952380952381
"23","804","High",2,"Survival","Larvae",0.954545454545455,0.977777777777778
"24","ClusterA","High",3,"Survival","Larvae",0.9375,0.958333333333333
"25","ClusterB","High",3,"Survival","Larvae",0.958333333333333,0.9375
"26","814","High",3,"Survival","Larvae",0.958333333333333,0.978260869565217
"27","ClusterA","High",3,"Survival","Larvae",0.613636363636364,1
"28","ClusterB","High",3,"Survival","Larvae",0.627906976744186,0.916666666666667
"29","806","High",3,"Survival","Larvae",0.634146341463415,0.5625
