"","Day","Treatment","N_Genotypes","Metric","Stage","Diverse","Single"
"1","0","Ambient",1,"Growth","Recruit",NA,5
"2","0","Ambient",2,"Growth","Recruit",5.5,NA
"3","0","Ambient",3,"Growth","Recruit",4.81818181818182,NA
"4","0","High",1,"Growth","Recruit",NA,5.47368421052632
"5","0","High",2,"Growth","Recruit",5.78571428571429,NA
"6","0","High",3,"Growth","Recruit",5.4,NA
"7","0","High",4,"Growth","Recruit",5.125,NA
"8","3","Ambient",1,"Growth","Recruit",NA,5.5
"9","3","Ambient",2,"Growth","Recruit",6.21428571428571,NA
"10","3","Ambient",3,"Growth","Recruit",6.13333333333333,NA
"11","3","High",1,"Growth","Recruit",NA,6.05555555555556
"12","3","High",2,"Growth","Recruit",6.07142857142857,NA
"13","3","High",3,"Growth","Recruit",5.9,NA
"14","3","High",4,"Growth","Recruit",5.625,NA
"15","11","Ambient",1,"Growth","Recruit",NA,5.66666666666667
"16","11","Ambient",2,"Growth","Recruit",6.28571428571429,NA
"17","11","Ambient",3,"Growth","Recruit",6.13333333333333,NA
"18","11","High",1,"Growth","Recruit",NA,6.05555555555556
"19","11","High",2,"Growth","Recruit",6.21428571428571,NA
"20","11","High",3,"Growth","Recruit",5.9,NA
"21","11","High",4,"Growth","Recruit",5.375,NA
"22","17","Ambient",1,"Growth","Recruit",NA,5.66666666666667
"23","17","Ambient",2,"Growth","Recruit",6.42857142857143,NA
"24","17","Ambient",3,"Growth","Recruit",6.06666666666667,NA
"25","17","High",1,"Growth","Recruit",NA,5.88888888888889
"26","17","High",2,"Growth","Recruit",6.30769230769231,NA
"27","17","High",3,"Growth","Recruit",5.9,NA
"28","17","High",4,"Growth","Recruit",5.625,NA
"29","23","Ambient",1,"Growth","Recruit",NA,6.41666666666667
"30","23","Ambient",2,"Growth","Recruit",6.78571428571429,NA
"31","23","Ambient",3,"Growth","Recruit",6.86666666666667,NA
"32","23","High",1,"Growth","Recruit",NA,5.375
"33","23","High",2,"Growth","Recruit",6.75,NA
"34","23","High",3,"Growth","Recruit",5.2,NA
"35","23","High",4,"Growth","Recruit",5.71428571428571,NA
"36","26","Ambient",1,"Growth","Recruit",NA,6.54545454545455
"37","26","Ambient",2,"Growth","Recruit",6.5,NA
"38","26","Ambient",3,"Growth","Recruit",6.64285714285714,NA
"39","26","High",1,"Growth","Recruit",NA,5
"40","26","High",2,"Growth","Recruit",4.25,NA
"41","26","High",3,"Growth","Recruit",4.5,NA
"42","26","High",4,"Growth","Recruit",5,NA
"43","32","Ambient",1,"Growth","Recruit",NA,6.8
"44","32","Ambient",2,"Growth","Recruit",6.90909090909091,NA
"45","32","Ambient",3,"Growth","Recruit",6.92307692307692,NA
"46","32","High",1,"Growth","Recruit",NA,NA
"47","32","High",2,"Growth","Recruit",1,NA
"48","32","High",3,"Growth","Recruit",3.5,NA
"49","32","High",4,"Growth","Recruit",NA,NA
