"","Genotype","Temperature","N_Genotypes","Metric","Stage","Diverse","Single"
"1","ClusterD","Ambient",3,"Settlement","Larvae",0.851851851851852,1
"2","ClusterA","Ambient",3,"Settlement","Larvae",1,1
"3","804","Ambient",3,"Settlement","Larvae",0.918367346938776,0.905660377358491
"4","ClusterA","Ambient",2,"Settlement","Larvae",0.913461538461538,0.989583333333333
"5","804","Ambient",2,"Settlement","Larvae",0.92,0.849056603773585
"6","ClusterA","Ambient",2,"Settlement","Larvae",0.989247311827957,1
"7","804","Ambient",2,"Settlement","Larvae",1,0.96
"8","746","Ambient",3,"Settlement","Larvae",0.96,0.94
"9","ClusterA","Ambient",3,"Settlement","Larvae",0.94,1
"10","ClusterB","Ambient",3,"Settlement","Larvae",0.872727272727273,1
"11","746","Ambient",3,"Settlement","Larvae",0.958333333333333,1
"12","ClusterA","Ambient",3,"Settlement","Larvae",1,0.947368421052632
"13","ClusterB","Ambient",3,"Settlement","Larvae",0.958333333333333,1
"14","ClusterA","Ambient",3,"Settlement","Larvae",1,1
"15","ClusterB","Ambient",3,"Settlement","Larvae",0.923076923076923,1
"16","814","Ambient",3,"Settlement","Larvae",1,0.935483870967742
"17","ClusterA","Ambient",3,"Settlement","Larvae",0.941176470588235,1
"18","ClusterB","Ambient",3,"Settlement","Larvae",0.979591836734694,0.957446808510638
"19","806","Ambient",3,"Settlement","Larvae",0.96,0.849056603773585
"20","ClusterA","High",2,"Settlement","Larvae",1,1
"21","804","High",2,"Settlement","Larvae",0.878787878787879,1
"22","ClusterA","High",2,"Settlement","Larvae",1,1
"23","804","High",2,"Settlement","Larvae",0.976744186046512,0.936170212765957
"24","ClusterA","High",3,"Settlement","Larvae",0.918367346938776,1
"25","ClusterB","High",3,"Settlement","Larvae",0.92,0.9
"26","814","High",3,"Settlement","Larvae",0.938775510204082,0.849056603773585
"27","ClusterA","High",3,"Settlement","Larvae",0.931034482758621,1
"28","ClusterB","High",3,"Settlement","Larvae",0.870967741935484,0.956521739130435
"29","806","High",3,"Settlement","Larvae",0.896551724137931,1
