Phase,Temperature,Treatment,Table,Colony,Plate,RackRep,Frag,TotalChangeG,TotalPercentDay,TotalPercentChange
Stress,Ambient,Single,A,5,1_5_P02,10,1_5_22,NA,NA,NA
Stress,Ambient,Single,A,5,1_5_P02,8,1_5_6,NA,NA,NA
Stress,Ambient,Single,A,5,1_5_P02,6,1_5_8,NA,NA,NA
Stress,Ambient,Single,A,5,1_5_P02,1,1_5_5,NA,NA,NA
Stress,Ambient,Single,A,5,1_5_P02,4,1_5_26,NA,NA,NA
Stress,Ambient,Single,B,3,1_3_P03,1,1_3_28,NA,NA,NA
Stress,High,Diverse,D,31,2_P15,6,2_31_59,NA,NA,NA
Stress,Ambient,Single,A,24,1_24_P03,8,1_24_13,NA,NA,NA
Stress,High,Diverse,C,23,2_P10,6,2_23_53,NA,NA,NA
Stress,Ambient,Single,A,1,1_1_P01,6,1_1_13,NA,NA,NA
Stress,Ambient,Single,A,5,1_5_P02,5,1_5_40,NA,NA,NA
Stress,Ambient,Single,A,5,1_5_P02,9,1_5_10,-0.385354648,-0.878813377,-12.30338727
Stress,Ambient,Single,A,5,1_5_P02,2,1_5_38,-0.34973986,-0.836206349,-11.70688888
Stress,High,Single,C,3,1_3_P01,2,1_3_2,-0.707263725,-0.792759595,-11.09863433
Stress,Ambient,Single,A,5,1_5_P02,7,1_5_32,-0.32607715,-0.785854757,-11.00196659
Stress,Ambient,Single,A,5,1_5_P02,3,1_5_29,-0.171451999,-0.718359969,-10.05703957
Stress,Ambient,Diverse,B,12,2_P18,9,2_12_44,-0.170904786,-0.564893289,-7.908506052
Stress,High,Diverse,C,23,2_P07,7,2_23_60,-0.154553697,-0.538813633,-7.543390864
Stress,High,Diverse,D,2,2_P15,7,2_2_52,-0.158730174,-0.460641256,-6.448977581
Stress,High,Single,D,23,1_23_P04,8,1_23_22,-0.134705921,-0.443957279,-6.215401905
Stress,High,Single,C,5,1_5_P03,7,1_5_21,-0.060835294,-0.430128386,-6.021797403
Grow-Out,Ambient,Single,C,5,1_5_P01,3,1_5_3,-0.122289189,-0.425566962,-34.47092389
Stress,High,Single,D,23,1_23_P04,5,1_23_8,-0.059171945,-0.372121269,-5.209697762
Stress,High,Single,C,5,1_5_P03,1,1_5_34,-0.051445889,-0.346653224,-4.853145132
Stress,High,Single,C,5,1_5_P03,8,1_5_25,-0.061308958,-0.338204913,-4.734868784
Stress,High,Diverse,D,3,2_P12,4,2_3_52,-0.151570052,-0.325878064,-4.562292895
Stress,Ambient,Single,A,23,1_23_P03,2,1_23_6,-0.052418558,-0.319684287,-4.475580013
Stress,Ambient,Single,B,23,1_23_P01,4,1_23_32,-0.053574532,-0.312623694,-4.37673172
Stress,High,Diverse,D,3,2_P19,5,2_3_57,-0.071859696,-0.311908059,-4.366712823
Stress,High,Diverse,C,4,2_P07,6,2_4_57,-0.093310718,-0.290659768,-4.069236746
Stress,High,Single,C,2,1_2_P03,6,1_2_38,-0.07530096,-0.267725254,-3.748153554
Stress,High,Single,D,4,1_4_P01,10,1_4_1,-0.04784833,-0.255547135,-3.577659886
Stress,High,Single,D,24,1_24_P02,9,1_24_31,-0.072733893,-0.248411907,-3.477766699
Stress,Ambient,Diverse,B,4,2_P08,2,2_4_41,-0.048775961,-0.231326391,-3.238569472
Stress,High,Diverse,D,2,2_P05,3,2_2_59,-0.058596047,-0.222026775,-3.108374848
Stress,High,Single,C,5,1_5_P03,4,1_5_35,-0.037639924,-0.203907398,-2.854703574
Stress,High,Single,C,5,1_5_P03,2,1_5_24,-0.047718353,-0.203003851,-2.842053915
Stress,High,Single,C,5,1_5_P03,10,1_5_31,-0.055435107,-0.192582971,-2.696161588
Stress,Ambient,Single,A,12,1_12_P04,7,1_12_4,-0.064556113,-0.185000482,-2.590006742
Stress,High,Single,D,12,1_12_P02,9,1_12_61,-0.064419369,-0.180009293,-2.520130096
Stress,High,Single,C,5,1_5_P03,9,1_5_20,-0.032914179,-0.179270976,-2.509793664
Grow-Out,Ambient,Diverse,B,2,2_P10,2,2_2_53,-0.451191597,-0.168802931,-13.67303745
Stress,Ambient,Diverse,B,4,2_P18,5,2_4_53,-0.035042439,-0.16748691,-2.344816746
Stress,Ambient,Single,A,2,1_2_P01,10,1_2_2,-0.055504002,-0.165022303,-2.310312246
Stress,High,Single,D,31,1_31_P01,7,1_31_11,-0.039089658,-0.164214749,-2.299006493
Stress,High,Single,C,5,1_5_P03,5,1_5_37,-0.038228563,-0.163789003,-2.293046038
Stress,High,Single,D,1,1_1_P02,10,1_1_22,-0.052714414,-0.152539674,-2.135555433
Grow-Out,Ambient,Single,D,1,1_1_P03,4,1_1_15,-0.186578237,-0.14782955,-11.97419353
Stress,High,Single,C,4,1_4_P04,4,1_4_6,-0.068607002,-0.145312702,-2.034377824
Stress,Ambient,Diverse,B,3,2_P03,8,2_3_55,-0.057808329,-0.142939927,-2.001158977
Stress,High,Single,C,31,1_31_P04,3,1_31_14,-0.023257561,-0.142093041,-1.989302571
Stress,Ambient,Single,A,23,1_23_P03,10,1_23_40,-0.031182855,-0.140009182,-1.960128553
Grow-Out,Ambient,Single,C,5,1_5_P04,2,1_5_27,-0.110658404,-0.139879115,-11.33020835
Stress,High,Single,C,2,1_2_P03,5,1_2_15,-0.074728617,-0.138478231,-1.938695236
Stress,Ambient,Single,A,31,1_31_P03,9,1_31_28,-0.037514159,-0.134542121,-1.88358969
Stress,Ambient,Single,A,32,1_32_P01,1,1_32_62,-0.049746819,-0.134056133,-1.876785858
Stress,Ambient,Single,A,2,1_2_P01,9,1_2_10,-0.070289545,-0.130197142,-1.822759983
Stress,Ambient,Diverse,B,23,2_P03,9,2_23_56,-0.058285589,-0.126014495,-1.764202926
Stress,High,Diverse,C,32,2_P07,8,2_32_43,-0.056953706,-0.123595305,-1.730334269
Stress,Ambient,Single,A,32,1_32_P01,7,1_32_1,-0.030793418,-0.123532471,-1.729454599
Stress,High,Diverse,C,31,2_P10,3,2_31_49,-0.087220869,-0.122050612,-1.708708569
Stress,Ambient,Single,A,12,1_12_P04,10,1_12_25,-0.038340373,-0.119298927,-1.670184973
Stress,High,Single,C,2,1_2_P03,10,1_2_60,-0.0925963,-0.117952725,-1.651338155
Stress,Ambient,Single,B,23,1_23_P01,10,1_23_7,-0.015315835,-0.11764347,-1.647008578
Stress,High,Single,D,12,1_12_P02,10,1_12_14,-0.032513445,-0.115632593,-1.618856303
Stress,High,Single,C,12,1_12_P01,4,1_12_9,-0.034546149,-0.11395564,-1.595378953
Stress,High,Single,C,5,1_5_P03,6,1_5_19,-0.013216463,-0.11150623,-1.561087227
Stress,Ambient,Single,B,12,1_12_P03,10,1_12_26,-0.038698977,-0.110785712,-1.550999974
Grow-Out,Ambient,Single,D,31,1_31_P01,6,1_31_12,-0.102832241,-0.105910295,-8.578733865
Stress,High,Single,C,31,1_31_P04,2,1_31_35,-0.024167292,-0.100680476,-1.409526661
Stress,High,Diverse,D,23,2_P15,9,2_23_52,-0.049803807,-0.098829817,-1.383617437
Stress,Ambient,Diverse,B,24,2_P18,8,2_24_46,-0.054719981,-0.098663511,-1.381289148
Stress,High,Diverse,C,31,2_P07,1,2_31_53,-0.047699711,-0.098007242,-1.372101383
Stress,High,Single,D,2,1_2_P04,5,1_2_27,-0.144564471,-0.097486911,-1.364816755
Stress,Ambient,Diverse,A,3,2_P01,8,2_3_58,-0.048953579,-0.097149627,-1.360094773
Stress,Ambient,Single,A,32,1_32_P01,4,1_32_15,-0.028468529,-0.092520516,-1.295287221
Stress,High,Single,D,32,1_32_P03,6,1_32_28,-0.026042855,-0.086870789,-1.216191049
Stress,Ambient,Diverse,B,31,2_P18,7,2_31_51,-0.03710656,-0.084389771,-1.181456797
Stress,High,Single,C,3,1_3_P01,6,1_3_33,-0.027923835,-0.082776896,-1.158876546
Stress,High,Diverse,D,2,2_P20,3,2_2_58,-0.047612827,-0.075888634,-1.062440879
Stress,High,Single,D,3,1_3_P02,1,1_3_15,-0.043907876,-0.0758391,-1.061747399
Stress,High,Single,C,32,1_32_P04,8,1_32_11,-0.03557174,-0.075026572,-1.050372013
Stress,High,Single,D,32,1_32_P03,3,1_32_65,-0.021014152,-0.072344909,-1.012828725
Stress,High,Diverse,D,32,2_P15,10,2_32_53,-0.05644798,-0.070292625,-0.984096747
Stress,Ambient,Diverse,A,31,2_P11,2,2_31_46,-0.027030901,-0.067742345,-0.948392826
Grow-Out,Ambient,Single,C,12,1_12_P04,5,1_12_1,-0.071487363,-0.065821671,-5.331555332
Stress,Ambient,Single,B,23,1_23_P01,7,1_23_37,-0.027306709,-0.063393694,-0.88751172
Stress,Ambient,Single,A,2,1_2_P01,5,1_2_35A,-0.029806332,-0.06136192,-0.859066885
Stress,High,Diverse,C,31,2_P06,5,2_31_52,-0.028542704,-0.060584474,-0.848182632
Stress,Ambient,Single,B,12,1_12_P03,1,1_12_17,-0.016723764,-0.060390412,-0.845465768
Stress,High,Single,D,5,1_5_P04,8,1_5_9,-0.037733574,-0.059855925,-0.837982945
Stress,High,Single,C,32,1_32_P04,10,1_32_5,-0.022915319,-0.0585889,-0.820244604
Stress,Ambient,Single,A,2,1_2_P01,7,1_2_14,-0.032302319,-0.058398323,-0.817576523
Stress,High,Single,C,12,1_12_P01,10,1_12_15,-0.018118747,-0.057804235,-0.80925929
Stress,High,Single,D,32,1_32_P03,4,1_32_26,-0.054748089,-0.057765298,-0.808714169
Stress,Ambient,Single,B,4,1_4_P02,3,1_4_28,-0.03469984,-0.057294518,-0.802123246
Stress,High,Single,D,2,1_2_P04,6,1_2_7,-0.016563777,-0.056000166,-0.784002329
Stress,High,Diverse,D,4,2_P12,10,2_4_55,-0.023010974,-0.055098676,-0.771381463
Stress,High,Diverse,D,1,2_P15,5,2_1_53,-0.022447477,-0.054795656,-0.76713918
Stress,High,Diverse,D,32,2_P05,1,1_32_55,-0.013352227,-0.054574142,-0.764037985
Stress,High,Single,C,31,1_31_P04,7,1_31_4,-0.015120355,-0.054347614,-0.760866599
Stress,High,Single,D,1,1_1_P02,5,1_1_12,-0.009958315,-0.054343916,-0.760814827
Stress,High,Single,C,2,1_2_P03,1,1_2_30,-0.013243251,-0.053965407,-0.755515691
Stress,High,Single,C,4,1_4_P04,5,1_4_4,-0.016425527,-0.053598463,-0.75037848
Stress,High,Single,C,2,1_2_P03,3,1_2_28,-0.029999367,-0.053265751,-0.745720518
Stress,High,Single,C,31,1_31_P04,4,1_31_24,-0.012311664,-0.051863617,-0.726090645
Stress,High,Single,D,23,1_23_P04,7,1_23_18,-0.016865504,-0.050004979,-0.700069706
Stress,High,Single,C,31,1_31_P04,5,1_31_20,-0.01880276,-0.048488393,-0.678837499
Stress,High,Diverse,C,23,2_P16,5,2_23_54,-0.020088048,-0.048406161,-0.677686251
Stress,Ambient,Single,A,2,1_2_P01,4,1_2_23,-0.020320181,-0.045366625,-0.635132748
Grow-Out,Ambient,Diverse,C,3,2_P19,5,2_3_57,-0.05694288,-0.045118708,-3.654615388
Stress,High,Diverse,D,4,2_P05,10,2_4_46,-0.018445896,-0.044310119,-0.62034167
Stress,High,Diverse,C,23,2_P06,2,2_23_5,-0.024796762,-0.043727609,-0.612186531
Stress,High,Single,D,23,1_23_P04,9,1_23_10,-0.028957487,-0.043268765,-0.605762709
Stress,High,Single,D,1,1_1_P02,3,1_1_6,-0.018585653,-0.043099215,-0.603389007
Stress,High,Single,D,4,1_4_P01,5,1_4_33,-0.018575339,-0.042678968,-0.597505554
Grow-Out,Ambient,Single,B,24,1_24_P02,3,1_24_2,-0.153989668,-0.042377078,-3.432543331
Stress,High,Diverse,D,12,2_P20,5,2_12_4,-0.019340581,-0.040486746,-0.566814448
Stress,High,Single,D,4,1_4_P01,3,1_4_14,-0.01167049,-0.038974117,-0.54563764
Stress,High,Single,D,1,1_1_P02,7,1_1_27,-0.019655628,-0.038775951,-0.542863321
Stress,Ambient,Diverse,A,4,2_P14,7,2_4_48,-0.007188514,-0.038257179,-0.535600508
Stress,High,Single,C,24,1_24_P01,10,1_24_3,-0.026328067,-0.037656244,-0.527187411
Stress,High,Diverse,C,24,2_P06,3,2_24_55,-0.019824196,-0.03643051,-0.510027145
Stress,High,Diverse,C,2,2_P16,8,2_2_49,-0.008137912,-0.034186908,-0.478616714
Stress,High,Single,D,12,1_12_P02,5,1_12_62,-0.025085064,-0.033869817,-0.474177444
Stress,Ambient,Single,A,32,1_32_P01,6,1_32_20,-0.01890122,-0.032651754,-0.45712456
Stress,High,Single,C,3,1_3_P01,8,1_3_40,-0.015735249,-0.031636585,-0.442912183
Stress,High,Diverse,C,1,2_P06,1,2_1_43,-0.007199678,-0.0301601,-0.422241401
