Phase,Temperature,Treatment,Table,Colony,Plate,RackRep,Frag,TotalChangeG,TotalPercentDay,TotalPercentChange
Stress,High,Diverse,D,24,2_P15,3,2_24_59,-0.014182175,-0.028864989,-0.404109847
Stress,High,Diverse,D,23,2_P20,9,2_23_48,-0.011157014,-0.027301976,-0.38222767
Stress,High,Single,C,5,1_5_P03,3,1_5_16,-0.00837071,-0.026907375,-0.376703251
Stress,High,Single,C,23,1_23_P02,7,1_23_33,-0.005091331,-0.026207787,-0.366909023
Stress,Ambient,Diverse,B,3,2_P18,3,2_3_54,-0.007453861,-0.024583154,-0.344164156
Stress,High,Single,C,12,1_12_P01,6,1_12_8,-0.009788449,-0.02385115,-0.333916096
Stress,High,Diverse,D,4,2_P19,1,2_4_54,-0.005985945,-0.023087975,-0.323231656
Stress,High,Single,C,32,1_32_P04,7,1_32_32,-0.013113031,-0.02215065,-0.310109101
Stress,High,Single,D,2,1_2_P04,10,1_2_12,-0.009672117,-0.021189781,-0.296656931
Stress,High,Diverse,D,23,2_P05,7,2_23_47,-0.010475261,-0.020530129,-0.287421811
Stress,High,Diverse,D,32,2_P19,8,1_32_47,-0.029579901,-0.020446413,-0.286249778
Stress,High,Diverse,D,12,2_P15,1,2_12_51,-0.010157478,-0.018645521,-0.261037287
Grow-Out,Ambient,Single,B,31,1_31_P02,6,1_31_13,-0.019395357,-0.018118209,-1.467574894
Stress,Ambient,Diverse,A,3,2_P02,7,2_3_60,-0.005808335,-0.018000275,-0.252003852
Stress,High,Single,C,31,1_31_P04,8,1_31_26,-0.007393585,-0.01735765,-0.243007096
Stress,High,Single,C,12,1_12_P01,8,1_12_21,-0.008754525,-0.01695558,-0.237378115
Stress,High,Single,C,2,1_2_P03,4,1_2_3,-0.004779657,-0.015443391,-0.216207468
Stress,High,Diverse,D,1,2_P12,3,2_1_51,-0.005183083,-0.015381986,-0.215347803
Stress,Ambient,Diverse,B,2,2_P18,4,2_2_47,-0.011934465,-0.01475824,-0.206615356
Stress,High,Single,D,5,1_5_P04,3,1_5_36,-0.003340765,-0.014756019,-0.20658426
Stress,High,Single,D,12,1_12_P02,4,1_12_2,-0.005050637,-0.014699515,-0.205793204
Stress,High,Single,C,12,1_12_P01,2,1_12_37,-0.003217559,-0.012313052,-0.172382735
Stress,Ambient,Single,A,23,1_23_P03,5,1_23_13,-0.002771349,-0.011437512,-0.160125167
Stress,High,Single,D,12,1_12_P02,8,1_12_32,-0.004967141,-0.009994899,-0.139928588
Stress,Ambient,Single,B,12,1_12_P03,4,1_12_31,-0.004508684,-0.009125222,-0.127753108
Stress,High,Single,D,12,1_12_P02,3,1_12_18,-0.003602816,-0.008837805,-0.123729265
Stress,High,Diverse,C,3,2_P16,6,2_3_53,-0.002914322,-0.007987217,-0.111821036
Stress,High,Diverse,D,3,2_P05,6,2_3_49,-0.00219786,-0.007653933,-0.107155062
Stress,Ambient,Single,A,23,1_23_P03,1,1_23_29,-0.003240491,-0.006163378,-0.086287292
Grow-Out,Ambient,Single,A,2,1_2_P03,5,1_2_15,-0.016659827,-0.006053569,-0.490339103
Stress,High,Single,D,1,1_1_P02,1,1_1_9,-0.004208292,-0.005809722,-0.081336101
Stress,High,Single,D,3,1_3_P02,8,1_3_14,-0.001361933,-0.005307297,-0.074302158
Stress,High,Single,C,24,1_24_P01,6,1_24_7,-0.00120678,-0.004714659,-0.06600522
Stress,High,Diverse,C,24,2_P07,5,2_24_57,-0.001781507,-0.004528337,-0.063396719
Stress,High,Single,C,24,1_24_P01,2,1_24_32,-0.002191086,-0.004417589,-0.061846243
Stress,High,Single,C,24,1_24_P01,7,1_24_26,-0.000966092,-0.004013873,-0.056194218
Stress,High,Single,C,31,1_31_P04,10,1_31_8,-0.00046057,-0.001940195,-0.027162734
Stress,High,Single,C,24,1_24_P01,8,1_24_30,-0.001388038,-0.001785216,-0.02499303
Stress,High,Single,C,24,1_24_P01,4,1_24_35,-0.001620279,-0.001243762,-0.01741267
Grow-Out,Ambient,Diverse,C,5,2_P19,6,2_5_52,-0.0012932,-0.000798181,-0.064652645
Stress,High,Single,D,3,1_3_P02,6,1_3_27,-0.000294522,-0.000576474,-0.008070632
Stress,High,Single,C,24,1_24_P01,5,1_24_19,-0.000252989,-0.000209986,-0.002939808
Stress,High,Single,C,24,1_24_P01,3,1_24_17,-0.000160291,-0.000133783,-0.001872955
Stress,High,Single,D,5,1_5_P04,10,1_5_11,0.000424888,0.001461082,0.020455145
Stress,High,Diverse,C,3,2_P10,4,2_3_43,0.000541534,0.001648874,0.02308424
Stress,High,Diverse,C,12,2_P06,10,2_12_47,0.000766566,0.001981872,0.027746211
Stress,Ambient,Single,A,32,1_32_P01,9,1_32_24,0.002452123,0.003447334,0.04826267
Grow-Out,Ambient,Single,A,3,1_3_P02,8,1_3_14,0.005075191,0.00370111,0.299789911
Grow-Out,Ambient,Diverse,A,3,2_P08,9,2_3_44,0.008440017,0.003781049,0.30626497
Stress,High,Single,D,4,1_4_P01,9,1_4_17,0.002095968,0.004375272,0.061253807
Stress,High,Single,D,32,1_32_P03,5,1_32_3,0.001064286,0.004446592,0.062252293
Stress,High,Diverse,C,1,2_P07,10,2_1_45,0.001437709,0.004572925,0.064020946
Stress,High,Single,D,4,1_4_P01,7,1_4_5,0.001173095,0.005069757,0.070976592
Stress,High,Single,D,3,1_3_P02,4,1_3_18,0.002754405,0.005986297,0.083808165
Stress,High,Single,C,2,1_2_P03,9,1_2_49,0.004020762,0.006234479,0.087282703
Stress,High,Single,D,12,1_12_P02,1,1_12_63,0.001419299,0.006296531,0.088151441
Grow-Out,Ambient,Single,A,12,1_12_P02,4,1_12_2,0.011769664,0.006442098,0.52180993
Stress,High,Diverse,C,12,2_P16,10,2_12_54,0.004939145,0.007567304,0.105942252
Stress,High,Single,C,3,1_3_P01,3,1_3_30,0.008006169,0.009224588,0.129144227
Stress,Ambient,Diverse,A,12,2_P02,5,2_12_56,0.003439283,0.009654752,0.13516653
Stress,Ambient,Single,A,12,1_12_P04,4,1_12_30,0.00220548,0.010646377,0.149049272
Grow-Out,Ambient,Diverse,C,3,2_P18,3,2_3_54,0.017651337,0.010927445,0.885123039
Stress,High,Diverse,C,32,2_P10,10,1_32_57,0.006561238,0.011106003,0.155484037
Stress,High,Single,C,3,1_3_P01,1,1_3_25,0.008894648,0.011255704,0.15757985
Stress,Ambient,Single,B,3,1_3_P03,7,1_3_3,0.00435987,0.011765096,0.164711343
Stress,High,Single,C,31,1_31_P04,1,1_31_6,0.004854133,0.012528423,0.175397923
Stress,High,Single,D,32,1_32_P03,9,1_32_38,0.003267604,0.013071895,0.183006528
Stress,High,Single,D,1,1_1_P02,2,1_1_32,0.004398687,0.013603942,0.190455181
Stress,Ambient,Diverse,B,31,2_P04,4,2_31_58,0.010874316,0.013745907,0.192442698
Stress,High,Single,D,12,1_12_P02,7,1_12_29,0.005853973,0.014395006,0.201530089
Stress,High,Diverse,D,12,2_P19,2,2_12_49,0.009677829,0.01459836,0.204377036
Stress,High,Diverse,C,5,2_P10,5,2_5_55,0.010245419,0.014976982,0.209677752
Stress,High,Single,C,12,1_12_P01,1,1_12_36,0.007962448,0.015776602,0.220872431
Stress,High,Single,C,32,1_32_P04,3,1_32_8,0.004324511,0.01578766,0.221027233
Stress,High,Diverse,D,32,2_P20,6,1_32_52,0.008299571,0.015793518,0.221109255
Grow-Out,Ambient,Single,A,24,1_24_P04,8,1_24_15,0.040171995,0.016527334,1.338714052
Stress,High,Single,D,3,1_3_P02,10,1_3_5,0.007682312,0.017129071,0.23980699
Stress,Ambient,Single,A,3,1_3_P04,10,1_3_17,0.01554727,0.017773409,0.248827731
Stress,High,Diverse,C,2,2_P17,3,2_2_51,0.02087665,0.017848797,0.249883165
Stress,High,Single,C,3,1_3_P01,4,1_3_10,0.015426343,0.01830624,0.256287359
Stress,Ambient,Single,B,12,1_12_P03,6,1_12_28,0.006332881,0.018391584,0.257482174
Stress,High,Single,C,23,1_23_P02,6,1_23_27,0.00544167,0.018943969,0.265215564
Stress,High,Single,D,3,1_3_P02,5,1_3_37,0.010733509,0.019097589,0.267366242
Stress,Ambient,Single,B,1,1_1_P03,3,1_1_24,0.010326387,0.019679225,0.275509149
Stress,High,Diverse,D,31,2_P12,7,2_31_24,0.005333593,0.01978598,0.277003721
Stress,Ambient,Single,B,31,1_31_P02,8,1_31_39,0.006824535,0.020111271,0.28155779
Stress,Ambient,Diverse,B,32,2_P08,7,2_32_44,0.011406196,0.020598147,0.288374063
Stress,High,Single,D,31,1_31_P01,9,1_31_61,0.009698576,0.020763838,0.290693738
Stress,High,Diverse,C,2,2_P06,4,2_2_48,0.014232617,0.020860182,0.292042552
Stress,High,Diverse,D,23,2_P12,5,2_23_44,0.008232628,0.021231756,0.297244588
Stress,High,Diverse,C,32,2_P16,4,1_32_53,0.011278485,0.021325075,0.298551047
Stress,High,Single,C,12,1_12_P01,7,1_12_19,0.006166994,0.022986671,0.32181339
Stress,Ambient,Diverse,B,32,2_P13,10,2_32_42,0.012193619,0.024076115,0.337065616
Stress,High,Single,D,5,1_5_P04,7,1_5_7,0.010338491,0.024599575,0.344394046
Stress,High,Diverse,C,1,2_P16,9,2_1_54,0.009068511,0.02517536,0.35245504
Grow-Out,Ambient,Diverse,C,32,2_P06,9,1_32_54,0.069109677,0.026051177,2.110145334
Stress,High,Single,D,4,1_4_P01,4,1_4_18,0.010473429,0.026356336,0.368988702
Stress,Ambient,Single,A,32,1_32_P01,10,1_32_61,0.016668283,0.026471997,0.370607957
Stress,High,Diverse,C,5,2_P07,3,2_5_48,0.015474064,0.027810148,0.389342068
Stress,High,Single,D,2,1_2_P04,3,1_2_25,0.034563153,0.027868534,0.390159471
Stress,High,Diverse,D,5,2_P19,6,2_5_52,0.007884402,0.027876184,0.390266579
Stress,High,Single,D,4,1_4_P01,2,1_4_40,0.010793949,0.028671973,0.401407626
Stress,High,Single,D,23,1_23_P04,1,1_23_61,0.006246525,0.028860376,0.404045264
Stress,High,Single,D,31,1_31_P01,1,1_31_18,0.015788982,0.029358668,0.411021345
Grow-Out,Ambient,Diverse,D,24,2_P13,4,2_24_54,0.126571646,0.029863595,2.418951162
Stress,High,Single,C,24,1_24_P01,1,1_24_25,0.017760594,0.029970616,0.419588624
Stress,Ambient,Single,A,3,1_3_P04,6,1_3_31,0.015959545,0.030065557,0.420917805
Stress,Ambient,Diverse,A,12,2_P01,10,2_12_50,0.010632273,0.030387128,0.425419792
Stress,Ambient,Single,B,12,1_12_P03,2,1_12_7,0.007305521,0.030728029,0.430192406
Stress,High,Single,C,32,1_32_P04,4,1_32_19,0.016129405,0.03122126,0.437097646
Grow-Out,Ambient,Diverse,D,4,2_P14,7,2_4_48,0.029206411,0.031493794,2.550997291
Stress,Ambient,Single,B,24,1_24_P04,2,1_24_22,0.049810741,0.031549891,0.441698474
Stress,High,Diverse,D,3,2_P20,7,2_3_61,0.01581754,0.031596955,0.442357375
Stress,Ambient,Single,A,31,1_31_P03,6,1_31_1,0.009989627,0.031712383,0.443973362
Stress,High,Single,D,24,1_24_P02,6,1_24_36,0.016553324,0.032358895,0.453024524
Stress,Ambient,Diverse,B,4,2_P13,3,2_4_44,0.007468454,0.03245022,0.45430308
Grow-Out,Ambient,Single,A,12,1_12_P01,1,1_12_36,0.089130494,0.032960903,2.669833169
Stress,Ambient,Single,A,2,1_2_P01,2,1_2_31,0.030562427,0.033206712,0.464893965
Stress,High,Single,D,5,1_5_P04,1,1_5_18,0.004910583,0.033241239,0.46537734
Stress,Ambient,Single,B,23,1_23_P01,8,1_23_15,0.011309192,0.033286045,0.466004632
Stress,High,Single,D,3,1_3_P02,7,1_3_36,0.023125587,0.033848363,0.473877087
Stress,High,Diverse,C,4,2_P10,8,2_4_56,0.01548317,0.033933721,0.4750721
Stress,Ambient,Single,B,2,1_2_P02,4,1_2_17,0.009528821,0.033994057,0.475916791
Stress,High,Single,C,3,1_3_P01,7,1_3_38,0.01036858,0.034203678,0.478851492
Grow-Out,Ambient,Single,A,32,1_32_P03,5,1_32_3,0.045085114,0.034518737,2.796017707
Grow-Out,Ambient,Single,A,32,1_32_P03,1,1_32_13,0.036992954,0.034742167,2.814115496
Stress,High,Single,D,12,1_12_P02,6,1_12_20,0.011694409,0.035297583,0.494166163
Grow-Out,Ambient,Diverse,C,31,2_P19,4,2_31_42,0.055299341,0.035691637,2.89102258
Stress,High,Single,C,24,1_24_P01,9,1_24_20,0.025637688,0.036289721,0.508056092
Stress,Ambient,Single,B,2,1_2_P02,8,1_2_19,0.007734636,0.036445905,0.51024267
Stress,High,Diverse,D,32,2_P12,8,2_32_45,0.009994365,0.036580166,0.512122322
Grow-Out,Ambient,Single,C,5,1_5_P04,1,1_5_18,0.028802144,0.038163831,3.0912703
Stress,Ambient,Single,B,32,1_32_P02,3,1_32_17,0.015287264,0.039282462,0.549954474
Stress,High,Single,C,2,1_2_P03,2,1_2_9,0.052781348,0.039294405,0.550121666
Stress,High,Single,C,3,1_3_P01,10,1_3_21,0.035836402,0.039391104,0.551475461
Stress,Ambient,Diverse,B,2,2_P03,3,2_2_46,0.031334901,0.039452463,0.552334476
Stress,Ambient,Single,A,24,1_24_P03,10,1_24_4,0.009390465,0.039502328,0.553032595
Stress,Ambient,Diverse,B,4,2_P03,2,2_4_42,0.013776588,0.040321504,0.564501057
Grow-Out,Ambient,Single,A,3,1_3_P01,1,1_3_25,0.170170942,0.040383449,3.271059352
Stress,High,Diverse,D,5,2_P12,2,2_5_42,0.018841121,0.040625028,0.56875039
Grow-Out,Ambient,Single,B,3,1_3_P04,10,1_3_17,0.198184433,0.040727642,3.298938967
Grow-Out,Ambient,Single,A,2,1_2_P03,4,1_2_3,0.070907218,0.040910764,3.313771869
Stress,Ambient,Diverse,B,1,2_P04,7,2_1_47,0.011385314,0.041104764,0.575466695
Stress,Ambient,Diverse,A,23,2_P14,10,2_23_58,0.030530442,0.04144442,0.580221877
Stress,Ambient,Single,B,2,1_2_P02,9,1_2_1,0.035603937,0.041503369,0.581047161
Stress,High,Single,D,2,1_2_P04,9,1_2_21,0.0206208,0.042633416,0.596867822
Grow-Out,Ambient,Single,C,5,1_5_P01,8,1_5_17,0.044331237,0.043093646,3.490585308
Stress,High,Single,D,2,1_2_P04,1,1_2_16,0.015563341,0.043170551,0.604387709
Stress,High,Diverse,D,12,2_P12,9,2_12_5,0.029685056,0.043322994,0.606521909
Stress,High,Single,D,24,1_24_P02,5,1_24_18,0.035893647,0.043810687,0.613349616
Stress,High,Single,C,2,1_2_P03,7,1_2_26,0.042247578,0.04465547,0.625176576
Stress,High,Single,D,2,1_2_P04,8,1_2_29,0.0506717,0.045053982,0.630755745
Stress,High,Diverse,C,32,2_P06,9,1_32_54,0.023178047,0.045658114,0.6392136
Stress,Ambient,Single,B,2,1_2_P02,5,1_2_18,0.016155115,0.046064861,0.644908056
Stress,Ambient,Single,B,24,1_24_P04,4,1_24_5,0.022439508,0.046598925,0.65238495
Stress,High,Single,D,24,1_24_P02,7,1_24_39,0.010928783,0.047029943,0.658419196
