Timepoint,Sample,Colony,Survivorship,Polyps,Treatment,Richness.Type
S2D11,AS-5-1,824-1,0,NA,High,Single
End,AS-5-1,824-1,0,NA,High,Single
Initial,AS-6-1,807-42,1,2,High,Single
S1D3,AS-6-1,807-42,1,4,High,Single
S2R1,AS-6-1,807-42,1,4,High,Single
S2D2,AS-6-1,807-42,1,4,High,Single
S2D8,AS-6-1,807-42,1,3,High,Single
S2D11,AS-6-1,807-42,0,NA,High,Single
End,AS-6-1,807-42,0,NA,High,Single
Initial,AS-7-1,742-F,1,2,Ambient,Single
S1D3,AS-7-1,742-F,1,3,Ambient,Single
S2R1,AS-7-1,742-F,1,3,Ambient,Single
S2D2,AS-7-1,742-F,1,3,Ambient,Single
S2D8,AS-7-1,742-F,1,4,Ambient,Single
S2D11,AS-7-1,742-F,1,5,Ambient,Single
End,AS-7-1,742-F,1,5,Ambient,Single
Initial,JS-1-1,813-25,1,5,Ambient,Single
S1D3,JS-1-1,813-25,1,6,Ambient,Single
S2R1,JS-1-1,813-25,1,4,Ambient,Single
S2D2,JS-1-1,813-25,1,4,Ambient,Single
S2D8,JS-1-1,813-25,1,4,Ambient,Single
S2D11,JS-1-1,813-25,1,3,Ambient,Single
End,JS-1-1,813-25,1,3,Ambient,Single
Initial,JS-10-1,841-47,1,4,High,Single
S1D3,JS-10-1,841-47,1,4,High,Single
S2R1,JS-10-1,841-47,1,4,High,Single
S2D2,JS-10-1,841-47,1,4,High,Single
S2D8,JS-10-1,841-47,1,4,High,Single
S2D11,JS-10-1,841-47,0,NA,High,Single
End,JS-10-1,841-47,0,NA,High,Single
Initial,JS-11-1,841-47,1,3,Ambient,Single
S1D3,JS-11-1,841-47,1,3,Ambient,Single
S2R1,JS-11-1,841-47,1,3,Ambient,Single
S2D2,JS-11-1,841-47,1,4,Ambient,Single
S2D8,JS-11-1,841-47,1,5,Ambient,Single
S2D11,JS-11-1,841-47,1,7,Ambient,Single
End,JS-11-1,841-47,1,5,Ambient,Single
Initial,JS-12-1,841-47,1,4,High,Single
S1D3,JS-12-1,841-47,1,6,High,Single
S2R1,JS-12-1,841-47,0,NA,High,Single
S2D2,JS-12-1,841-47,0,NA,High,Single
S2D8,JS-12-1,841-47,0,NA,High,Single
S2D11,JS-12-1,841-47,0,NA,High,Single
End,JS-12-1,841-47,0,NA,High,Single
Initial,JS-13-1,812-25,1,3,Ambient,Single
S1D3,JS-13-1,812-25,1,4,Ambient,Single
S2R1,JS-13-1,812-25,1,5,Ambient,Single
S2D2,JS-13-1,812-25,1,5,Ambient,Single
S2D8,JS-13-1,812-25,1,7,Ambient,Single
S2D11,JS-13-1,812-25,1,7,Ambient,Single
End,JS-13-1,812-25,1,7,Ambient,Single
Initial,JS-14-1,812-25,1,2,High,Single
S1D3,JS-14-1,812-25,1,4,High,Single
S2R1,JS-14-1,812-25,1,4,High,Single
S2D2,JS-14-1,812-25,1,4,High,Single
S2D8,JS-14-1,812-25,1,3,High,Single
S2D11,JS-14-1,812-25,0,NA,High,Single
End,JS-14-1,812-25,0,NA,High,Single
Initial,JS-15-1,812-25,1,1,High,Single
S1D3,JS-15-1,812-25,1,3,High,Single
S2R1,JS-15-1,812-25,0,NA,High,Single
S2D2,JS-15-1,812-25,0,NA,High,Single
S2D8,JS-15-1,812-25,0,NA,High,Single
S2D11,JS-15-1,812-25,0,NA,High,Single
End,JS-15-1,812-25,0,NA,High,Single
Initial,JS-16-1,812-25,1,1,High,Single
S1D3,JS-16-1,812-25,1,2,High,Single
S2R1,JS-16-1,812-25,1,3,High,Single
S2D2,JS-16-1,812-25,1,2,High,Single
S2D8,JS-16-1,812-25,1,2,High,Single
S2D11,JS-16-1,812-25,0,NA,High,Single
End,JS-16-1,812-25,0,NA,High,Single
Initial,JS-17-1,801-47,1,4,High,Single
S1D3,JS-17-1,801-47,1,4,High,Single
S2R1,JS-17-1,801-47,1,5,High,Single
S2D2,JS-17-1,801-47,1,6,High,Single
S2D8,JS-17-1,801-47,1,4,High,Single
S2D11,JS-17-1,801-47,0,NA,High,Single
End,JS-17-1,801-47,0,NA,High,Single
Initial,JS-2-1,813-25,1,6,High,Single
S1D3,JS-2-1,813-25,1,6,High,Single
S2R1,JS-2-1,813-25,1,6,High,Single
S2D2,JS-2-1,813-25,1,6,High,Single
S2D8,JS-2-1,813-25,1,7,High,Single
S2D11,JS-2-1,813-25,0,NA,High,Single
End,JS-2-1,813-25,0,NA,High,Single
Initial,JS-23-1,742-F,1,2,High,Single
S1D3,JS-23-1,742-F,1,3,High,Single
S2R1,JS-23-1,742-F,1,4,High,Single
S2D2,JS-23-1,742-F,1,4,High,Single
S2D8,JS-23-1,742-F,1,4,High,Single
S2D11,JS-23-1,742-F,1,3,High,Single
End,JS-23-1,742-F,0,NA,High,Single
Initial,JS-24-1,742-F,1,3,High,Single
S1D3,JS-24-1,742-F,1,3,High,Single
S2R1,JS-24-1,742-F,1,4,High,Single
S2D2,JS-24-1,742-F,1,3,High,Single
S2D8,JS-24-1,742-F,1,4,High,Single
S2D11,JS-24-1,742-F,0,NA,High,Single
End,JS-24-1,742-F,0,NA,High,Single
Initial,JS-25-1,742-F,1,3,Ambient,Single
S1D3,JS-25-1,742-F,1,3,Ambient,Single
S2R1,JS-25-1,742-F,1,3,Ambient,Single
S2D2,JS-25-1,742-F,1,3,Ambient,Single
S2D8,JS-25-1,742-F,1,4,Ambient,Single
S2D11,JS-25-1,742-F,1,4,Ambient,Single
End,JS-25-1,742-F,1,4,Ambient,Single
Initial,JS-26-1,742-F,1,2,Ambient,Single
S1D3,JS-26-1,742-F,1,2,Ambient,Single
S2R1,JS-26-1,742-F,1,2,Ambient,Single
S2D2,JS-26-1,742-F,1,3,Ambient,Single
S2D8,JS-26-1,742-F,1,3,Ambient,Single
S2D11,JS-26-1,742-F,1,3,Ambient,Single
End,JS-26-1,742-F,1,3,Ambient,Single
Initial,JS-27-1,821-47,1,3,Ambient,Single
S1D3,JS-27-1,821-47,1,4,Ambient,Single
S2R1,JS-27-1,821-47,1,4,Ambient,Single
