Date,Week,StressDay,Treatment,Colony,Reef,Plate,RackRep,Frag,Table,Temperature,ID,Time,Notes
20190610,12,1,Single,12,,1_12_P03,6,1_12_28,B,Ambient,201,2012,
20190610,12,1,Single,12,,1_12_P03,4,1_12_31,B,Ambient,198,2012,
20190610,12,1,Single,12,,1_12_P03,5,1_12_33,B,Ambient,193,2012,
20190610,12,1,Single,12,,1_12_P03,9,1_12_35,B,Ambient,194,2012,
20190610,12,1,Single,12,,1_12_P03,3,1_12_40,B,Ambient,196,2012,
20190610,12,1,Single,12,,1_12_P03,2,1_12_7,B,Ambient,197,2012,
20190610,12,1,Single,12,,1_12_P04,5,1_12_1,A,Ambient,105,1953,
20190610,12,1,Single,12,,1_12_P04,3,1_12_12,A,Ambient,110,1953,
20190610,12,1,Single,12,,1_12_P04,8,1_12_23,A,Ambient,108,1953,
20190610,12,1,Single,12,,1_12_P04,10,1_12_25,A,Ambient,111,1953,
20190610,12,1,Single,12,,1_12_P04,4,1_12_30,A,Ambient,109,1953,
20190610,12,1,Single,12,,1_12_P04,2,1_12_38,A,Ambient,107,1953,
20190610,12,1,Single,12,,1_12_P04,7,1_12_4,A,Ambient,106,1953,
20190610,12,1,Single,12,,1_12_P04,6,1_12_64,A,Ambient,104,1953,
20190610,12,1,Single,12,,1_12_P04,9,1_12_65,A,Ambient,102,1953,
20190610,12,1,Single,12,,1_12_P04,1,1_12_66,A,Ambient,103,1953,
20190610,12,1,Single,2,,1_2_P01,9,1_2_10,A,Ambient,113,1955,
20190610,12,1,Single,2,,1_2_P01,6,1_2_13,A,Ambient,114,1955,
20190610,12,1,Single,2,,1_2_P01,7,1_2_14,A,Ambient,118,1955,
20190610,12,1,Single,2,,1_2_P01,10,1_2_2,A,Ambient,117,1955,
20190610,12,1,Single,2,,1_2_P01,8,1_2_20,A,Ambient,115,1955,
20190610,12,1,Single,2,,1_2_P01,4,1_2_23,A,Ambient,120,1955,
20190610,12,1,Single,2,,1_2_P01,1,1_2_24,A,Ambient,116,1955,
20190610,12,1,Single,2,,1_2_P01,2,1_2_31,A,Ambient,121,1955,
20190610,12,1,Single,2,,1_2_P01,3,1_2_34,A,Ambient,112,1955,
20190610,12,1,Single,2,,1_2_P01,5,1_2_35A,A,Ambient,119,1955,
20190610,12,1,Single,2,,1_2_P02,9,1_2_1,B,Ambient,318,2043,
20190610,12,1,Single,2,,1_2_P02,10,1_2_11,B,Ambient,313,2043,
20190610,12,1,Single,2,,1_2_P02,4,1_2_17,B,Ambient,322,2043,
20190610,12,1,Single,2,,1_2_P02,5,1_2_18,B,Ambient,319,2043,
20190610,12,1,Single,2,,1_2_P02,8,1_2_19,B,Ambient,316,2043,
20190610,12,1,Single,2,,1_2_P02,6,1_2_22,B,Ambient,314,2043,
20190610,12,1,Single,2,,1_2_P02,1,1_2_32,B,Ambient,317,2043,
20190610,12,1,Single,2,,1_2_P02,2,1_2_37,B,Ambient,320,2043,
20190610,12,1,Single,2,,1_2_P02,3,1_2_61,B,Ambient,321,2043,
20190610,12,1,Single,2,,1_2_P02,7,1_2_8,B,Ambient,315,2043,
20190610,12,1,Single,2,,1_2_P03,5,1_2_15,C,High,348,2049,
20190610,12,1,Single,2,,1_2_P03,7,1_2_26,C,High,347,2049,
20190610,12,1,Single,2,,1_2_P03,3,1_2_28,C,High,346,2049,
20190610,12,1,Single,2,,1_2_P03,4,1_2_3,C,High,NA,NA,DEAD
20190610,12,1,Single,2,,1_2_P03,1,1_2_30,C,High,350,2049,
20190610,12,1,Single,2,,1_2_P03,6,1_2_38,C,High,NA,NA,DEAD
20190610,12,1,Single,2,,1_2_P03,8,1_2_4,C,High,343,2049,
20190610,12,1,Single,2,,1_2_P03,9,1_2_49,C,High,345,2049,
20190610,12,1,Single,2,,1_2_P03,10,1_2_60,C,High,344,2049,
20190610,12,1,Single,2,,1_2_P03,2,1_2_9,C,High,349,2049,
20190610,12,1,Single,2,,1_2_P04,10,1_2_12,D,High,541,2132,
20190610,12,1,Single,2,,1_2_P04,1,1_2_16,D,High,535,2132,
20190610,12,1,Single,2,,1_2_P04,9,1_2_21,D,High,533,2132,
20190610,12,1,Single,2,,1_2_P04,3,1_2_25,D,High,539,2132,
20190610,12,1,Single,2,,1_2_P04,5,1_2_27,D,High,540,2132,
20190610,12,1,Single,2,,1_2_P04,8,1_2_29,D,High,536,2132,
20190610,12,1,Single,2,,1_2_P04,7,1_2_35B,D,High,543,2132,
20190610,12,1,Single,2,,1_2_P04,4,1_2_36,D,High,534,2132,
20190610,12,1,Single,2,,1_2_P04,2,1_2_6,D,High,538,2132,
20190610,12,1,Single,2,,1_2_P04,6,1_2_7,D,High,537,2132,
20190610,12,1,Single,23,,1_23_P01,2,1_23_12,B,Ambient,270,2027,
20190610,12,1,Single,23,,1_23_P01,8,1_23_15,B,Ambient,263,2027,
20190610,12,1,Single,23,,1_23_P01,5,1_23_17,B,Ambient,272,2027,
