,Date,Plate,Temperature,Well,Row,Column,diversity_level,color,colony,outcome,duration,site
539,7292018,PlateC5,Ambient,A2,A,2,1,B,746,1,2,10
540,7292018,PlateC5,Ambient,B2,B,2,1,B,746,1,2,10
541,7292018,PlateC5,Ambient,C2,C,2,1,B,746,1,2,10
542,7292018,PlateC5,Ambient,D2,D,2,1,B,746,1,2,10
543,7292018,PlateC5,Ambient,E2,E,2,1,B,746,1,2,10
544,7292018,PlateC5,Ambient,F2,F,2,1,B,746,1,2,10
545,7292018,PlateC5,Ambient,G2,G,2,1,B,746,1,2,10
546,7292018,PlateC5,Ambient,H2,H,2,1,B,746,1,2,10
563,7292018,PlateC5,Ambient,A5,A,5,1,B,746,1,2,10
564,7292018,PlateC5,Ambient,B5,B,5,1,B,746,1,2,10
565,7292018,PlateC5,Ambient,C5,C,5,1,B,746,1,2,10
566,7292018,PlateC5,Ambient,D5,D,5,1,B,746,1,2,10
567,7292018,PlateC5,Ambient,E5,E,5,1,B,746,1,2,10
568,7292018,PlateC5,Ambient,F5,F,5,1,B,746,1,2,10
569,7292018,PlateC5,Ambient,G5,G,5,1,B,746,1,2,10
570,7292018,PlateC5,Ambient,H5,H,5,1,B,746,1,2,10
1539,7292018,PlateC5,Ambient,A2,A,2,1,B,746,1,2,10
1540,7292018,PlateC5,Ambient,B2,B,2,1,B,746,1,2,10
1541,7292018,PlateC5,Ambient,C2,C,2,1,B,746,1,2,10
1542,7292018,PlateC5,Ambient,D2,D,2,1,B,746,1,2,10
1543,7292018,PlateC5,Ambient,E2,E,2,1,B,746,1,2,10
1544,7292018,PlateC5,Ambient,F2,F,2,1,B,746,1,2,10
1545,7292018,PlateC5,Ambient,G2,G,2,1,B,746,1,2,10
1546,7292018,PlateC5,Ambient,H2,H,2,1,B,746,1,2,10
1563,7292018,PlateC5,Ambient,A5,A,5,1,B,746,1,2,10
1564,7292018,PlateC5,Ambient,B5,B,5,1,B,746,1,2,10
1565,7292018,PlateC5,Ambient,C5,C,5,1,B,746,1,2,10
1566,7292018,PlateC5,Ambient,D5,D,5,1,B,746,1,2,10
1567,7292018,PlateC5,Ambient,E5,E,5,1,B,746,1,2,10
1568,7292018,PlateC5,Ambient,F5,F,5,1,B,746,1,2,10
1569,7292018,PlateC5,Ambient,G5,G,5,1,B,746,1,2,10
1570,7292018,PlateC5,Ambient,H5,H,5,1,B,746,1,2,10
1579,7292018,PlateC5,Ambient,A7,A,7,3,B,746,1,2,10
1580,7292018,PlateC5,Ambient,B7,B,7,3,B,746,1,2,10
1581,7292018,PlateC5,Ambient,C7,C,7,3,B,746,1,2,10
1582,7292018,PlateC5,Ambient,D7,D,7,3,B,746,1,2,10
1583,7292018,PlateC5,Ambient,E7,E,7,3,B,746,1,2,10
1584,7292018,PlateC5,Ambient,F7,F,7,3,B,746,1,2,10
1585,7292018,PlateC5,Ambient,G7,G,7,3,B,746,1,2,10
1586,7292018,PlateC5,Ambient,H7,H,7,3,B,746,1,2,10
1587,7292018,PlateC5,Ambient,A8,A,8,3,B,746,1,2,10
1588,7292018,PlateC5,Ambient,B8,B,8,3,B,746,1,2,10
1589,7292018,PlateC5,Ambient,C8,C,8,3,B,746,1,2,10
1590,7292018,PlateC5,Ambient,D8,D,8,3,B,746,1,2,10
1591,7292018,PlateC5,Ambient,E8,E,8,3,B,746,1,2,10
1592,7292018,PlateC5,Ambient,F8,F,8,3,B,746,1,2,10
1593,7292018,PlateC5,Ambient,G8,G,8,3,B,746,1,2,10
1594,7292018,PlateC5,Ambient,H8,H,8,3,B,746,1,2,10
1595,7292018,PlateC5,Ambient,A9,A,9,3,B,746,1,2,10
1596,7292018,PlateC5,Ambient,B9,B,9,3,B,746,1,2,10
1597,7292018,PlateC5,Ambient,C9,C,9,3,B,746,1,2,10
1598,7292018,PlateC5,Ambient,D9,D,9,3,B,746,1,2,10
1599,7292018,PlateC5,Ambient,E9,E,9,3,B,746,1,2,10
1600,7292018,PlateC5,Ambient,F9,F,9,3,B,746,1,2,10
